overall_percentage,consecutive_absences,monday_absences,total_classes,present_classes,at_risk,risk_score
67.9,15,3,74,50,1,0.62
50.2,10,5,69,34,1,0.88
97.7,6,15,70,68,1,0.53
84.0,6,9,46,38,1,0.45
99.7,12,7,69,68,1,0.52
31.9,3,18,51,16,1,0.88
67.5,15,13,43,29,1,0.58
30.7,9,16,49,15,1,0.89
65.5,6,13,55,36,1,0.58
63.7,5,0,70,44,1,0.62
89.7,15,6,72,64,1,0.55
80.7,14,8,70,56,1,0.5
71.1,13,18,76,54,1,0.61
64.2,11,14,39,25,1,0.57
81.0,9,13,56,45,1,0.48
87.3,2,20,43,37,1,0.43
45.0,9,20,40,18,1,0.88
70.1,12,7,37,25,1,0.56
27.1,9,14,61,16,1,0.91
57.7,1,6,40,23,1,0.88
27.2,8,17,41,11,1,0.91
28.2,15,0,33,9,1,0.94
31.3,9,2,56,17,1,0.94
75.4,2,12,76,57,1,0.43
42.7,3,16,72,30,1,0.93
96.2,8,15,35,33,1,0.47
34.2,10,10,67,22,1,0.92
85.4,7,13,43,36,1,0.46
38.1,8,14,56,21,1,0.88
69.2,15,17,53,36,1,0.62
33.5,13,15,73,24,1,0.87
45.8,4,11,60,27,1,0.92
86.6,0,20,68,58,0,0.35
80.5,1,7,46,37,0,0.15
96.9,11,3,64,62,1,0.54
89.3,12,0,55,49,1,0.54
93.8,9,2,78,73,1,0.47
40.8,5,14,70,28,1,0.88
85.9,13,1,47,40,1,0.54
86.7,15,15,77,66,1,0.49
88.1,13,3,40,35,1,0.52
63.0,11,13,68,42,1,0.62
66.1,10,14,74,48,1,0.55
28.9,5,20,58,16,1,0.93
35.2,12,6,70,24,1,0.88
68.2,3,5,45,30,1,0.6
97.7,4,19,73,71,0,0.39
95.5,14,15,77,73,1,0.46
38.0,10,9,42,15,1,0.86
52.6,12,12,66,34,1,0.87
96.1,7,2,59,56,1,0.47
77.6,5,1,55,42,0,0.2
36.2,11,5,66,23,1,0.86
78.9,13,14,73,57,1,0.5
41.8,6,6,80,33,1,0.88
81.0,12,4,57,46,1,0.54
70.0,9,6,56,39,1,0.57
84.4,0,9,46,38,0,0.37
58.8,7,11,67,39,1,0.92
59.4,0,15,38,22,1,0.94
98.1,12,6,75,73,1,0.49
56.7,8,2,36,20,1,0.91
28.9,7,15,52,15,1,0.95
95.4,1,0,46,43,0,0.14
98.3,11,4,65,63,1,0.45
38.5,5,16,61,23,1,0.94
90.8,4,2,50,45,0,0.21
44.5,10,1,38,16,1,0.9
98.0,8,11,57,55,1,0.48
90.8,8,16,50,45,1,0.49
37.4,15,4,65,24,1,0.94
74.3,14,1,42,31,1,0.56
42.2,1,15,46,19,1,0.87
60.0,3,15,32,19,1,0.59
99.2,15,14,61,60,1,0.46
79.0,4,3,52,41,0,0.06
38.5,5,16,47,18,1,0.91
74.7,6,18,30,22,1,0.6
67.8,13,2,45,30,1,0.63
75.8,10,0,48,36,1,0.52
76.0,12,11,67,50,1,0.54
33.0,10,4,31,10,1,0.86
87.3,15,14,70,61,1,0.55
69.6,0,10,32,22,1,0.62
96.3,10,18,38,36,1,0.47
28.7,9,10,33,9,1,0.92
66.0,12,2,55,36,1,0.58
43.0,12,2,31,13,1,0.94
37.2,12,9,71,26,1,0.93
74.1,3,9,61,45,1,0.63
80.2,9,19,38,30,1,0.49
32.2,11,16,42,13,1,0.9
91.4,15,8,66,60,1,0.51
31.8,13,11,69,21,1,0.87
72.3,2,1,62,44,1,0.58
59.8,7,20,73,43,1,0.92
94.8,2,9,59,55,0,0.39
93.0,15,9,39,36,1,0.55
76.3,9,7,63,48,1,0.49
67.6,2,1,62,41,1,0.56
56.9,3,14,72,40,1,0.92
86.0,11,8,67,57,1,0.46
62.8,3,14,41,25,1,0.63
88.2,1,2,56,49,0,0.24
69.0,14,14,69,47,1,0.63
50.6,5,6,41,20,1,0.86
98.7,8,3,57,56,1,0.5
25.4,3,0,40,10,1,0.92
59.5,12,19,76,45,1,0.9
71.4,11,12,49,34,1,0.56
35.1,6,3,31,10,1,0.92
39.1,0,6,60,23,1,0.91
73.7,13,20,80,58,1,0.6
31.5,14,4,60,18,1,0.89
33.7,4,14,61,20,1,0.9
89.5,7,6,48,42,1,0.51
87.5,1,10,30,26,0,0.36
88.6,13,13,61,54,1,0.52
69.7,9,1,61,42,1,0.59
63.5,15,7,75,47,1,0.56
26.4,10,17,34,8,1,0.88
73.6,15,3,61,44,1,0.61
73.5,14,13,31,22,1,0.57
79.5,15,11,58,46,1,0.47
41.5,10,19,75,31,1,0.92
34.8,9,12,56,19,1,0.93
75.5,11,15,40,30,1,0.51
46.2,2,15,38,17,1,0.87
36.7,15,3,80,29,1,0.89
99.5,9,7,43,42,1,0.51
99.9,11,8,52,51,1,0.52
38.1,1,2,51,19,1,0.89
71.3,3,17,44,31,1,0.6
99.5,11,1,79,78,1,0.54
45.1,4,16,68,30,1,0.92
78.0,14,14,78,60,1,0.46
32.9,3,17,32,10,1,0.9
37.5,3,6,53,19,1,0.87
46.9,14,16,61,28,1,0.92
32.4,11,10,38,12,1,0.86
40.1,13,0,45,18,1,0.93
60.5,9,16,40,24,1,0.56
52.9,13,11,70,37,1,0.92
36.4,13,7,38,13,1,0.93
56.0,13,14,63,35,1,0.93
52.1,0,14,39,20,1,0.93
78.8,2,2,51,40,0,0.14
37.3,1,12,78,29,1,0.85
94.2,4,18,33,31,1,0.45
98.5,9,13,55,54,1,0.54
77.6,9,10,52,40,1,0.45
46.0,4,12,58,26,1,0.91
91.6,14,11,80,73,1,0.51
83.2,9,2,32,26,1,0.5
54.2,4,16,64,34,1,0.88
32.0,9,16,51,16,1,0.93
37.0,0,17,67,24,1,0.88
87.4,9,13,62,54,1,0.46
29.5,11,8,70,20,1,0.9
34.3,3,14,49,16,1,0.91
25.4,10,7,77,19,1,0.95
67.4,7,11,49,33,1,0.58
83.9,4,12,63,52,1,0.42
32.9,6,11,59,19,1,0.86
78.4,13,2,35,27,1,0.46
91.6,15,6,58,53,1,0.46
75.8,12,18,65,49,1,0.5
54.6,8,18,61,33,1,0.91
99.7,15,13,40,39,1,0.46
34.5,14,4,75,25,1,0.9
64.7,6,14,60,38,1,0.55
36.8,11,3,68,25,1,0.94
33.3,11,18,48,15,1,0.85
36.5,11,9,53,19,1,0.88
61.4,4,4,80,49,1,0.61
28.6,9,9,43,12,1,0.87
80.5,0,3,65,52,0,0.14
56.3,9,18,58,32,1,0.94
83.6,15,19,38,31,1,0.53
62.9,14,14,72,45,1,0.59
90.0,10,2,69,62,1,0.52
55.7,7,12,51,28,1,0.9
96.9,14,8,71,68,1,0.46
37.4,0,18,70,26,1,0.93
78.1,3,20,65,50,0,0.36
96.6,1,18,63,60,0,0.37
60.7,0,3,72,43,1,0.64
38.5,0,8,80,30,1,0.87
87.2,14,2,64,55,1,0.51
55.1,1,15,31,17,1,0.88
38.5,0,16,50,19,1,0.89
31.8,3,17,40,12,1,0.88
38.7,2,4,49,18,1,0.95
75.9,1,19,50,37,0,0.37
78.5,9,12,36,28,1,0.48
56.0,10,8,54,30,1,0.94
92.5,1,6,45,41,0,0.23
62.0,12,3,47,29,1,0.56
59.9,13,2,60,35,1,0.85
72.5,0,8,65,47,1,0.65
75.6,7,17,71,53,1,0.53
47.8,13,14,35,16,1,0.93
62.5,4,11,64,40,1,0.65
83.7,13,17,58,48,1,0.45
85.9,9,20,40,34,1,0.45
95.0,15,8,68,64,1,0.48
76.0,11,20,43,32,1,0.51
63.3,1,5,77,48,1,0.6
30.2,2,12,74,22,1,0.86
35.5,8,13,43,15,1,0.91
96.8,10,10,70,67,1,0.48
81.5,14,8,45,36,1,0.52
49.1,6,14,68,33,1,0.88
93.6,4,20,30,28,1,0.41
25.3,0,5,56,14,1,0.91
77.2,15,12,64,49,1,0.46
90.8,2,17,31,28,1,0.44
86.2,14,3,52,44,1,0.55
53.2,11,12,41,21,1,0.93
85.9,0,3,59,50,0,0.08
25.7,0,8,73,18,1,0.94
51.8,2,19,70,36,1,0.88
78.8,7,15,53,41,1,0.45
62.0,6,0,42,26,1,0.65
72.9,3,8,66,48,1,0.6
37.8,6,18,73,27,1,0.92
67.4,2,18,38,25,1,0.62
34.6,7,16,76,26,1,0.93
39.4,0,17,69,27,1,0.88
67.0,14,0,57,38,1,0.61
95.7,1,10,57,54,1,0.43
55.5,3,16,59,32,1,0.9
63.8,1,7,33,21,1,0.58
56.5,14,10,30,16,1,0.89
50.1,0,7,74,37,1,0.89
30.6,7,6,40,12,1,0.88
29.7,3,0,60,17,1,0.89
26.8,10,8,45,12,1,0.86
42.9,10,1,51,21,1,0.9
42.8,2,19,69,29,1,0.89
32.2,14,18,37,11,1,0.86
29.6,1,12,50,14,1,0.94
77.0,4,1,58,44,0,0.03
57.4,3,1,65,37,1,0.86
88.7,12,3,69,61,1,0.53
42.5,0,14,54,22,1,0.9
57.1,3,10,71,40,1,0.94
83.7,14,16,51,42,1,0.51
33.1,0,19,75,24,1,0.86
84.2,6,18,38,31,1,0.51
44.2,13,15,76,33,1,0.91
38.9,4,1,33,12,1,0.86
68.8,11,9,67,46,1,0.64
83.2,4,15,49,40,1,0.41
46.8,0,16,67,31,1,0.92
35.8,7,16,65,23,1,0.94
56.7,6,6,70,39,1,0.94
83.9,10,6,72,60,1,0.5
76.9,14,19,74,56,1,0.48
68.4,10,19,49,33,1,0.59
37.2,14,1,61,22,1,0.87
25.3,7,7,59,14,1,0.91
42.9,10,12,43,18,1,0.89
87.0,0,11,30,26,0,0.36
27.3,3,4,48,13,1,0.89
72.4,11,1,31,22,1,0.57
46.3,7,8,76,35,1,0.87
88.6,7,5,42,37,1,0.45
88.2,3,0,73,64,0,0.06
91.4,10,6,49,44,1,0.5
52.7,11,5,63,33,1,0.95
99.8,13,2,37,36,1,0.46
94.3,6,6,64,60,1,0.49
53.1,13,20,45,23,1,0.94
82.2,6,17,48,39,1,0.53
49.6,1,20,80,39,1,0.88
34.5,15,6,76,26,1,0.86
60.3,2,5,62,37,1,0.59
91.2,11,15,63,57,1,0.5
49.1,11,16,74,36,1,0.9
96.7,15,8,67,64,1,0.49
94.1,1,6,44,41,0,0.26
42.6,6,9,57,24,1,0.94
67.9,11,8,65,44,1,0.56
81.4,9,14,63,51,1,0.49
68.8,14,16,69,47,1,0.58
58.8,13,13,53,31,1,0.93
48.8,12,0,41,20,1,0.89
44.9,2,11,35,15,1,0.88
62.6,2,8,44,27,1,0.56
30.4,1,17,42,12,1,0.88
75.6,8,9,77,58,1,0.53
76.3,8,6,75,57,1,0.51
35.3,8,0,79,27,1,0.88
86.7,12,12,67,58,1,0.53
25.9,4,12,44,11,1,0.87
81.2,15,7,63,51,1,0.51
66.4,14,14,51,33,1,0.63
48.5,6,13,79,38,1,0.94
56.3,14,14,65,36,1,0.85
35.4,4,9,77,27,1,0.85
85.8,11,10,44,37,1,0.49
76.4,12,17,49,37,1,0.48
26.7,1,4,39,10,1,0.95
99.6,12,12,43,42,1,0.54
29.8,12,6,60,17,1,0.86
67.7,14,20,49,33,1,0.56
32.8,5,1,74,24,1,0.91
27.0,6,2,54,14,1,0.88
42.5,2,14,33,14,1,0.89
25.8,10,13,55,14,1,0.87
33.3,13,15,77,25,1,0.86
96.6,6,4,43,41,1,0.48
86.3,15,5,68,58,1,0.51
48.3,6,16,75,36,1,0.92
45.7,0,4,58,26,1,0.86
54.9,7,16,51,27,1,0.94
90.9,14,14,66,59,1,0.45
31.8,14,11,74,23,1,0.93
84.4,12,19,41,34,1,0.49
38.5,13,14,54,20,1,0.94
38.8,3,12,74,28,1,0.94
43.0,5,8,70,30,1,0.9
75.0,2,6,61,45,0,0.15
34.1,11,2,78,26,1,0.86
82.5,10,13,58,47,1,0.47
40.6,1,14,31,12,1,0.86
77.1,14,12,51,39,1,0.52
89.2,12,1,30,26,1,0.48
78.2,4,10,72,56,1,0.42
61.4,2,2,65,39,1,0.62
78.5,14,4,60,47,1,0.53
88.1,5,0,68,59,0,0.01
65.1,12,5,34,22,1,0.62
25.8,8,4,58,14,1,0.89
41.3,1,17,43,17,1,0.89
28.6,3,12,74,21,1,0.88
28.9,0,1,79,22,1,0.89
40.1,7,11,45,18,1,0.87
26.2,0,0,51,13,1,0.93
76.0,2,7,36,27,0,0.27
37.6,5,1,56,21,1,0.9
86.2,10,17,70,60,1,0.47
40.5,12,13,37,14,1,0.87
32.9,10,5,30,9,1,0.89
48.7,12,6,59,28,1,0.87
74.3,8,20,69,51,1,0.59
30.0,6,13,49,14,1,0.93
62.5,3,17,80,50,1,0.65
88.8,5,8,36,31,0,0.23
77.2,4,10,41,31,1,0.41
91.3,10,15,34,31,1,0.48
70.6,14,12,62,43,1,0.61
42.4,0,7,31,13,1,0.91
92.3,9,7,77,71,1,0.49
43.3,2,1,38,16,1,0.89
47.2,4,12,43,20,1,0.91
42.9,14,10,38,16,1,0.88
73.3,1,16,80,58,1,0.65
73.6,9,0,44,32,1,0.63
49.8,7,6,64,31,1,0.86
93.8,7,7,68,63,1,0.54
64.1,5,14,70,44,1,0.55
90.2,2,6,33,29,0,0.15
40.3,2,5,67,27,1,0.9
84.6,6,7,62,52,1,0.46
79.4,9,5,76,60,1,0.47
56.8,7,9,48,27,1,0.91
97.6,6,8,80,78,1,0.5
96.3,11,12,54,52,1,0.47
58.1,13,4,80,46,1,0.9
82.1,13,2,78,64,1,0.54
47.5,4,17,76,36,1,0.87
53.5,9,14,48,25,1,0.89
70.5,2,10,38,26,1,0.62
39.7,6,0,30,11,1,0.94
79.8,11,15,55,43,1,0.54
95.5,11,12,61,58,1,0.48
99.1,2,13,32,31,1,0.45
34.3,5,6,78,26,1,0.89
44.1,11,16,75,33,1,0.9
76.6,1,20,54,41,1,0.44
80.2,7,15,32,25,1,0.54
52.1,0,20,39,20,1,0.88
59.2,4,8,45,26,1,0.91
96.4,5,0,37,35,0,0.25
93.8,12,18,35,32,1,0.5
39.2,13,5,57,22,1,0.88
47.7,12,18,49,23,1,0.92
81.4,2,3,70,56,0,0.2
86.1,8,6,77,66,1,0.49
48.1,5,15,30,14,1,0.86
83.0,13,16,56,46,1,0.52
80.0,5,5,53,42,0,0.02
61.5,3,14,66,40,1,0.63
38.9,1,5,78,30,1,0.87
98.7,13,14,70,69,1,0.54
33.2,5,2,48,15,1,0.86
34.4,2,10,31,10,1,0.91
60.8,3,0,33,20,1,0.58
96.6,1,3,43,41,0,0.11
70.2,8,15,60,42,1,0.63
70.3,10,11,73,51,1,0.64
100.0,7,11,72,72,1,0.49
70.8,11,10,36,25,1,0.55
90.3,12,4,31,27,1,0.51
90.2,8,7,53,47,1,0.5
76.5,15,16,56,42,1,0.52
25.2,10,0,70,17,1,0.89
28.4,10,14,44,12,1,0.91
55.0,2,11,57,31,1,0.94
95.6,15,3,76,72,1,0.49
70.5,4,16,66,46,1,0.63
78.7,1,4,61,48,0,0.22
75.5,14,5,58,43,1,0.55
61.2,7,7,43,26,1,0.57
95.8,2,3,57,54,0,0.25
94.7,10,12,79,74,1,0.48
78.9,15,3,72,56,1,0.46
65.1,15,2,80,52,1,0.62
90.4,2,20,51,46,0,0.39
78.8,12,20,71,55,1,0.53
97.5,13,7,44,42,1,0.48
46.8,3,2,51,23,1,0.92
95.3,3,18,53,50,0,0.36
48.5,12,18,77,37,1,0.85
29.6,6,12,57,16,1,0.88
52.4,4,16,72,37,1,0.91
41.7,12,0,64,26,1,0.94
48.7,9,7,61,29,1,0.92
36.1,9,4,77,27,1,0.92
85.1,1,19,50,42,0,0.38
