attendance_percentage,assignment_score,midterm_score,quiz_average,study_hours_per_day,final_score,risk_level
79.4,81.0,18.6,30.3,7.6,45.1,MEDIUM
84.1,91.8,83.8,78.4,4.2,81.3,LOW
35.0,59.1,76.6,66.9,2.2,61.5,LOW
83.7,49.5,40.6,85.9,6.1,63.3,LOW
94.0,71.6,22.4,35.0,2.1,49.8,MEDIUM
53.8,72.3,48.3,42.8,3.9,59.3,MEDIUM
32.4,96.7,48.0,33.1,6.8,61.2,LOW
62.5,26.6,71.7,28.1,8.6,57.6,MEDIUM
30.9,45.5,61.7,50.7,4.5,48.8,MEDIUM
97.2,52.1,79.4,44.2,2.6,70.3,LOW
72.3,84.2,50.5,49.8,4.7,60.4,LOW
67.5,49.2,80.7,98.5,5.3,69.6,LOW
77.2,32.0,40.3,94.7,5.9,49.9,MEDIUM
86.9,78.2,50.9,23.9,2.8,53.7,MEDIUM
64.3,49.4,90.0,74.9,2.5,66.6,LOW
50.7,85.5,58.8,34.3,3.6,51.3,MEDIUM
52.7,70.9,63.6,48.6,0.4,61.8,LOW
47.4,26.7,18.5,78.1,6.3,36.4,HIGH
49.2,97.7,72.0,39.5,8.3,74.9,LOW
81.3,61.9,51.3,26.1,3.7,49.8,MEDIUM
98.4,71.0,89.4,50.6,9.8,74.5,LOW
94.9,79.9,48.0,21.8,9.5,59.9,MEDIUM
75.7,90.6,85.3,54.7,1.2,71.5,LOW
48.3,44.3,56.3,88.3,2.4,59.7,MEDIUM
56.2,57.8,78.5,55.0,7.5,69.6,LOW
49.4,73.7,64.4,92.8,6.8,64.5,LOW
58.5,21.5,47.3,30.4,2.7,41.1,MEDIUM
98.3,45.5,29.9,21.4,3.2,39.3,HIGH
50.1,77.0,84.4,67.0,6.3,69.3,LOW
57.2,94.4,11.1,47.2,3.5,46.9,MEDIUM
62.3,79.4,29.0,75.8,6.7,53.3,MEDIUM
32.3,88.2,97.1,70.5,5.6,73.4,LOW
44.5,98.8,43.2,43.3,3.2,59.6,MEDIUM
32.1,70.0,25.0,48.1,4.3,50.0,MEDIUM
31.6,97.9,60.1,59.3,2.3,68.6,LOW
39.2,68.6,86.5,27.8,2.2,68.4,LOW
70.0,34.3,24.3,82.2,7.3,45.5,MEDIUM
58.6,80.1,47.6,67.9,3.2,58.0,MEDIUM
37.4,90.8,96.4,80.9,3.2,78.2,LOW
57.5,88.7,54.5,57.1,8.3,64.7,LOW
94.7,34.2,36.0,62.6,3.3,50.6,MEDIUM
42.1,92.6,44.5,72.2,9.7,61.4,LOW
74.5,69.5,22.5,69.6,10.0,57.2,MEDIUM
81.3,95.6,39.3,40.0,5.7,62.3,LOW
36.4,49.6,76.9,90.7,6.5,64.3,LOW
90.4,88.0,24.5,49.5,8.7,55.2,MEDIUM
95.6,93.7,39.0,43.4,8.9,62.5,LOW
62.3,39.6,64.3,99.2,8.0,71.3,LOW
65.0,28.9,64.4,46.5,9.2,48.9,MEDIUM
62.4,97.0,10.6,22.6,6.8,53.1,MEDIUM
99.7,89.0,16.3,53.4,2.6,60.7,LOW
38.5,82.1,68.2,62.7,0.2,61.3,LOW
80.8,43.4,45.9,85.8,7.7,57.6,MEDIUM
80.2,60.9,68.5,54.3,1.2,58.3,MEDIUM
48.4,86.0,77.8,28.9,1.7,62.2,LOW
53.8,93.0,81.6,36.8,1.0,70.9,LOW
35.2,91.9,54.2,39.6,2.6,52.9,MEDIUM
61.1,83.0,73.0,65.5,5.9,75.5,LOW
40.4,43.1,29.9,49.7,3.6,35.2,HIGH
96.1,32.7,67.1,58.0,4.4,58.5,MEDIUM
82.1,75.6,23.2,43.4,3.8,54.0,MEDIUM
32.0,36.9,37.3,66.7,2.6,43.5,MEDIUM
82.2,99.7,46.5,69.5,1.7,66.4,LOW
40.9,88.2,38.3,49.9,8.7,55.2,MEDIUM
41.8,62.0,25.8,91.8,0.1,53.9,MEDIUM
54.0,44.7,30.2,42.3,7.8,47.4,MEDIUM
75.5,48.5,51.3,93.0,9.1,69.1,LOW
89.2,82.6,57.2,38.3,2.0,67.9,LOW
57.9,27.9,39.7,25.4,5.5,39.6,HIGH
81.9,89.8,97.3,24.5,5.7,75.4,LOW
47.9,79.2,72.1,72.1,2.5,69.7,LOW
61.9,23.2,64.8,64.2,0.9,46.0,MEDIUM
88.1,25.1,91.3,61.8,0.6,61.1,LOW
71.0,66.5,51.8,63.0,7.8,59.4,MEDIUM
74.4,35.7,20.5,26.7,2.0,36.7,HIGH
45.0,59.0,61.2,66.5,8.6,53.2,MEDIUM
92.1,82.2,27.5,84.5,6.1,63.6,LOW
30.0,80.4,64.1,59.4,1.8,58.5,MEDIUM
66.0,96.1,37.0,89.4,2.5,61.2,LOW
69.3,44.7,49.6,98.2,9.5,61.7,LOW
52.3,97.9,52.3,33.1,0.7,57.5,MEDIUM
51.3,94.0,49.9,71.0,5.4,59.5,MEDIUM
84.5,81.0,29.2,60.1,3.2,58.5,MEDIUM
37.2,44.0,64.9,65.7,1.5,46.3,MEDIUM
83.6,82.9,86.7,68.8,1.6,86.2,LOW
98.7,72.3,81.0,82.4,2.7,86.8,LOW
63.0,88.5,37.3,31.6,3.3,51.8,MEDIUM
82.2,56.0,48.3,51.5,4.2,61.4,LOW
58.3,97.5,41.8,84.4,9.7,72.4,LOW
31.4,76.3,28.8,77.3,2.9,46.5,MEDIUM
52.5,83.3,39.3,64.8,2.0,51.2,MEDIUM
65.2,88.5,19.6,39.5,3.3,49.3,MEDIUM
80.5,57.6,97.4,23.7,6.6,74.4,LOW
93.6,59.0,35.2,68.5,3.8,51.6,MEDIUM
74.8,42.1,43.3,93.9,1.1,49.4,MEDIUM
82.5,46.0,79.8,53.1,1.5,59.1,MEDIUM
50.9,36.0,17.9,39.6,5.7,38.4,HIGH
48.3,62.5,36.2,21.7,7.7,38.1,HIGH
85.0,76.9,38.3,88.3,9.1,66.6,LOW
91.9,34.7,52.1,56.9,3.3,58.3,MEDIUM
79.3,40.4,77.3,21.9,1.2,55.5,MEDIUM
57.7,58.9,14.3,62.3,9.1,45.4,MEDIUM
31.1,55.0,12.9,60.3,8.0,42.2,MEDIUM
64.4,66.0,67.1,78.8,5.7,75.1,LOW
84.6,62.5,81.9,87.7,0.9,81.6,LOW
72.7,99.4,77.7,81.4,4.3,77.4,LOW
61.6,90.4,76.5,72.0,0.7,75.2,LOW
53.8,62.2,72.3,85.6,4.3,58.9,MEDIUM
70.2,20.5,84.5,21.5,2.3,51.9,MEDIUM
48.1,37.8,70.7,46.1,4.6,55.7,MEDIUM
83.9,66.0,41.9,90.4,8.7,60.3,LOW
84.1,36.5,26.3,22.1,6.0,47.0,MEDIUM
84.6,63.2,95.9,46.2,3.2,70.5,LOW
44.6,44.2,48.2,41.7,9.4,43.3,MEDIUM
54.9,31.0,90.9,55.2,8.3,61.0,LOW
61.1,79.5,76.6,50.4,4.5,67.1,LOW
44.4,50.4,83.3,27.4,1.8,62.3,LOW
80.7,29.7,78.1,29.6,4.9,59.5,MEDIUM
82.5,45.4,27.2,98.8,8.0,53.9,MEDIUM
47.9,29.0,51.1,20.6,8.0,40.2,MEDIUM
90.0,48.4,95.1,86.9,4.3,84.1,LOW
51.0,100.0,17.6,71.5,3.9,53.6,MEDIUM
96.6,42.0,68.3,45.9,1.4,57.3,MEDIUM
69.5,30.2,24.0,75.6,7.6,38.0,HIGH
86.2,89.3,69.5,49.7,4.1,67.9,LOW
42.1,94.9,96.9,79.4,8.1,76.9,LOW
91.5,28.8,24.6,59.8,3.1,46.6,MEDIUM
93.6,41.2,38.9,82.7,3.3,62.9,LOW
32.4,89.8,92.2,23.7,3.8,68.2,LOW
66.8,32.7,11.3,91.8,0.9,47.5,MEDIUM
37.9,58.1,98.5,88.5,5.4,66.7,LOW
72.2,70.9,38.0,57.6,9.0,52.7,MEDIUM
75.9,49.2,65.2,77.3,4.8,68.3,LOW
89.6,35.7,29.7,30.4,9.4,42.1,MEDIUM
35.8,27.6,46.3,91.0,1.1,40.1,MEDIUM
42.9,72.7,39.6,97.9,6.7,59.0,MEDIUM
70.4,90.7,78.4,30.5,4.2,73.4,LOW
70.6,94.8,13.1,92.5,3.9,51.0,MEDIUM
43.9,34.6,22.9,22.7,7.9,27.4,HIGH
52.6,65.8,53.5,47.5,6.3,61.0,LOW
70.4,56.2,29.3,69.7,5.5,45.5,MEDIUM
49.6,81.5,93.1,47.0,8.9,70.5,LOW
86.5,59.0,59.4,73.1,6.7,64.6,LOW
66.3,25.0,42.9,71.4,9.6,44.1,MEDIUM
45.9,56.6,20.0,64.0,3.0,47.4,MEDIUM
51.5,54.9,98.6,26.6,8.7,67.0,LOW
57.8,95.3,99.9,35.6,8.4,75.4,LOW
31.2,78.7,41.9,68.1,1.5,57.3,MEDIUM
66.8,84.0,42.6,38.4,9.5,60.3,LOW
56.2,28.0,24.9,70.7,6.2,46.2,MEDIUM
82.6,32.2,94.8,68.8,8.6,68.8,LOW
97.1,95.9,36.7,92.1,9.7,81.2,LOW
62.8,30.9,94.4,20.0,2.5,58.5,MEDIUM
51.8,93.8,65.2,96.7,0.6,70.0,LOW
40.1,85.8,78.8,84.6,9.5,70.4,LOW
85.0,71.7,45.2,35.5,8.3,53.3,MEDIUM
97.4,42.1,90.3,29.9,7.4,76.9,LOW
40.6,55.5,70.5,80.8,0.1,52.7,MEDIUM
51.8,28.2,66.6,57.7,6.6,49.5,MEDIUM
38.7,79.4,50.9,25.6,9.8,60.7,LOW
53.9,41.8,98.9,50.5,8.9,61.7,LOW
62.7,66.8,88.9,75.3,7.9,79.7,LOW
45.7,28.2,99.8,68.3,6.0,62.2,LOW
90.9,73.2,85.3,97.1,4.2,85.2,LOW
90.6,42.4,75.2,42.1,2.5,62.7,LOW
59.4,86.9,98.5,26.6,1.0,77.5,LOW
47.0,59.6,63.2,73.3,1.0,62.4,LOW
79.6,64.9,85.4,50.1,5.2,79.0,LOW
56.8,68.1,63.1,83.5,9.5,69.0,LOW
38.2,81.1,42.5,73.8,9.0,57.1,MEDIUM
57.6,79.5,41.3,83.1,8.5,63.7,LOW
66.6,95.2,83.2,70.2,7.8,83.4,LOW
31.8,65.4,12.2,95.7,1.0,48.6,MEDIUM
86.1,78.3,86.4,40.3,8.2,74.7,LOW
